DBN,SCHOOL NAME.x,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,avg_sat_score,SchoolName,AP Test Takers,Total Exams Taken,Number of Exams with scores 3 4 or 5,exams_per_student,high_score_percent,SCHOOL NAME.y,avg_class_size,Name,frl_percent,total_enrollment,ell_percent,sped_percent,selfcontained_num,asian_per,black_per,hispanic_per,white_per,male_per,female_per,School Name,Total Cohort,grads_percent,dropout_percent,school_name,boro,Location 1,coordinates,lat,long
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,355,404,363,1122,NA,NA,NA,NA,NA,NA,Henry Street School for International Studies,23,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,88.6,422,22.3,24.9,35,14,29.1,53.8,1.7,61.4,38.6,HENRY STREET SCHOOL FOR INTERNATIONAL,78,55.1,14.1,Henry Street School for International Studies,Manhattan,"220 Henry Street
New York, NY 10002
(40.71376394700047, -73.98526003999967)","(40.71376394700047, -73.98526003999967)",40.7137639470004,-73.98526003999967
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,383,423,366,1172,UNIVERSITY NEIGHBORHOOD H.S.,39,49,10,1.2564102564102564,20.408163265306122,University Neighborhood High School,22,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,71.8,394,21.1,21.8,10,29.2,22.6,45.9,2.3,57.4,42.6,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,124,42.7,16.1,University Neighborhood High School,Manhattan,"200 Monroe Street
New York, NY 10002
(40.7123318510005, -73.98479662499966)","(40.7123318510005, -73.98479662499966)",40.712331851,-73.98479662499966
01M450,EAST SIDE COMMUNITY SCHOOL,70,377,402,370,1149,EAST SIDE COMMUNITY HS,19,21,NA,1.105263157894737,NA,East Side Community School,21,EAST SIDE COMMUNITY HIGH SCHOOL,71.8,598,5,26.4,19,9.7,23.9,55.4,10.4,54.7,45.3,EAST SIDE COMMUNITY SCHOOL,90,77.8,5.6,East Side Community School,Manhattan,"420 East 12 Street
New York, NY 10009
(40.729782687000466, -73.98304144099967)","(40.729782687000466, -73.98304144099967)",40.72978268700046,-73.98304144099967
01M458,FORSYTH SATELLITE ACADEMY,7,414,401,359,1174,NA,NA,NA,NA,NA,NA,Forsyth Satellite Academy,23,SATELLITE ACADEMY HS @ FORSYTHE STREET,72.8,224,4,8.9,0,2.2,34.4,59.4,3.6,43.3,56.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01M509,MARTA VALLE HIGH SCHOOL,44,390,433,384,1207,NA,NA,NA,NA,NA,NA,Marta Valle High School,24,MARTA VALLE SECONDARY SCHOOL,80.7,367,11.2,25.9,36,9.3,31.6,56.9,1.6,46.3,53.7,MARTA VALLE HIGH SCHOOL,84,56,6,Marta Valle High School,Manhattan,"145 Stanton Street
New York, NY 10002
(40.720569079000484, -73.98567269099965)","(40.720569079000484, -73.98567269099965)",40.72056907900048,-73.98567269099965
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,112,332,557,316,1205,LOWER EASTSIDE PREP,24,26,24,1.0833333333333333,92.3076923076923,Lower East Side Preparatory High School,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LOWER EAST SIDE PREPARATORY HIGH SCHO,193,54.4,18.1,NA,NA,NA,NA,NA,NA
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525,1621,"NEW EXPLORATIONS SCI,TECH,MATH",255,377,191,1.4784313725490197,50.663129973474796,"New Explorations into Science, Technology and Math High School",26,NEW EXPLORATIONS INTO SCIENCE TECH AND MATH,23,1613,0.2,2.7,0,27.8,11.7,14.2,44.9,49.2,50.8,NEW EXPLORATIONS INTO SCIENCE  TECHNO,46,100,0,"New Explorations into Science, Technology and Math High School",Manhattan,"111 Columbia Street
New York, NY 10002
(40.718725451000466, -73.97942638599966)","(40.718725451000466, -73.97942638599966)",40.71872545100046,-73.97942638599966
01M650,CASCADES HIGH SCHOOL,18,417,418,411,1246,NA,NA,NA,NA,NA,NA,Cascades High School,22,CASCADES HIGH SCHOOL,69.8,218,3.2,6.9,0,0.5,45.4,49.5,4.1,39.9,60.1,CASCADES HIGH SCHOOL,89,55.1,6.7,NA,NA,NA,NA,NA,NA
01M696,BARD HIGH SCHOOL EARLY COLLEGE,130,624,604,628,1856,NA,NA,NA,NA,NA,NA,Bard High School Early College,21,BARD HIGH SCHOOL EARLY COLLEGE,18,617,0.2,0.8,0,15.1,15.1,18.2,49.8,31.3,68.7,BARD HIGH SCHOOL EARLY COLLEGE,139,96.4,0.7,Bard High School Early College,Manhattan,"525 East Houston Street
New York, NY 10002
(40.718961617000446, -73.97606602099967)","(40.718961617000446, -73.97606602099967)",40.71896161700044,-73.97606602099967
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16,395,400,387,1182,NA,NA,NA,NA,NA,NA,47 The American Sign Language and English Secondary School,16,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL L,66.9,174,8,32.2,10,1.7,32.2,59.2,6.3,42.5,57.5,47 THE AMERICAN SIGN LANGUAGE AND ENG,25,76,4,47 The American Sign Language and English Secondary School,Manhattan,"223 East 23 Street
New York, NY 10010
(40.738599087000466, -73.98251191099968)","(40.738599087000466, -73.98251191099968)",40.73859908700046,-73.98251191099968
02M288,FOOD AND FINANCE HIGH SCHOOL,62,409,393,392,1194,NA,NA,NA,NA,NA,NA,Food and Finance High School,23,FOOD AND FINANCE HIGH SCHOOL,68.4,433,2.1,18.5,4,3,44.1,47.6,4.8,45,55,FOOD AND FINANCE HIGH SCHOOL,102,89.2,2.9,Food and Finance High School,Manhattan,"525 West 50Th Street
New York, NY 10019
(40.76502670800045, -73.99251657799965)","(40.76502670800045, -73.99251657799965)",40.7650267080004,-73.99251657799965
02M294,ESSEX STREET ACADEMY,53,394,384,378,1156,NA,NA,NA,NA,NA,NA,Essex Street Academy,15,HIGH SCHOOL FOR HISTORY & COMMUNICATION,60.8,343,3.8,20.4,2,4.1,27.7,60.6,7.6,53.4,46.6,ESSEX STREET ACADEMY,89,71.9,10.1,Essex Street Academy,Manhattan,"350 Grand Street
New York, NY 10002
(40.71686722400045, -73.98953194299963)","(40.71686722400045, -73.98953194299963)",40.7168672240004,-73.98953194299963
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,374,375,362,1111,High School of Hospitality Management,NA,NA,NA,NA,NA,High School of Hospitality Management,23,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,72.4,419,9.5,14.8,17,5.3,26.5,66.1,2.1,32.2,67.8,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,75,77.3,6.7,High School of Hospitality Management,Manhattan,"525 West 50Th Street
New York, NY 10019
(40.76502670800045, -73.99251657799965)","(40.76502670800045, -73.99251657799965)",40.7650267080004,-73.99251657799965
02M298,PACE HIGH SCHOOL,85,423,438,432,1293,Pace High School,21,21,NA,1,NA,Pace High School,21,PACE HIGH SCHOOL,56.7,414,2.2,13.8,3,10.1,32.4,42,3.9,43.7,56.3,PACE HIGH SCHOOL,92,84.8,4.3,Pace High School,Manhattan,"100 Hester Street
New York, NY 10002
(40.716412393000496, -73.99267584399968)","(40.716412393000496, -73.99267584399968)",40.71641239300049,-73.99267584399968
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404,449,416,1269,"Urban Assembly School of Design and Construction,",99,117,10,1.1818181818181819,8.547008547008547,"Urban Assembly School of Design and Construction, The",23,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,75.3,431,10.9,20,12,6,29.2,59.2,4.9,74.9,25.1,URBAN ASSEMBLY SCHOOL OF DESIGN AND C,80,61.3,8.800000000000002,"Urban Assembly School of Design and Construction, The",Manhattan,"525 West 50Th Street
New York, NY 10019
(40.76502670800045, -73.99251657799965)","(40.76502670800045, -73.99251657799965)",40.7650267080004,-73.99251657799965
02M303,"FACING HISTORY SCHOOL, THE",76,353,358,340,1051,"Facing History School, The",42,44,NA,1.0476190476190477,NA,"Facing History School, The",22,THE FACING HISTORY SCHOOL,75.6,451,20.8,21.7,9,0.7,23.5,73.2,2.4,50.6,49.4,FACING HISTORY SCHOOL  THE,71,47.9,19.7,"Facing History School, The",Manhattan,"525 West 50Th Street
New York, NY 10019
(40.76502670800045, -73.99251657799965)","(40.76502670800045, -73.99251657799965)",40.7650267080004,-73.99251657799965
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,388,385,1148,"Urban Assembly Academy of Government and Law, The",25,37,15,1.48,40.54054054054054,"Urban Assembly Academy of Government and Law, The",21,THE URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,68.3,312,6.1,17,5,3.8,41.7,50.6,3.5,43.9,56.1,URBAN ASSEMBLY ACADEMY OF GOVERNMENT,61,75.4,16.4,"Urban Assembly Academy of Government and Law, The",Manhattan,"350 Grand Street
New York, NY 10002
(40.71686722400045, -73.98953194299963)","(40.71686722400045, -73.98953194299963)",40.7168672240004,-73.98953194299963
02M308,LOWER MANHATTAN ARTS ACADEMY,40,403,392,405,1200,Lower Manhattan Arts Academy,NA,NA,NA,NA,NA,Lower Manhattan Arts Academy,23,LOWER MANHATTAN ARTS ACADEMY,62.2,336,3.9,24.7,3,9.5,30.7,55.7,3.6,39.9,60.1,LOWER MANHATTAN ARTS ACADEMY,68,67.6,8.800000000000002,Lower Manhattan Arts Academy,Manhattan,"350 Grand Street
New York, NY 10002
(40.71686722400045, -73.98953194299963)","(40.71686722400045, -73.98953194299963)",40.7168672240004,-73.98953194299963
02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",69,408,390,390,1188,NA,NA,NA,NA,NA,NA,"James Baldwin School, The: A School for Expeditionary Learning",22,THE JAMES BALDWIN SCHOOL: A SCHOOL FOR EXPEDITIO,51,248,4.8,12.9,1,4,34.3,54.4,6.5,52.4,47.6,JAMES BALDWIN SCHOOL  THE: A SCHOOL F,79,51.9,15.2,NA,NA,NA,NA,NA,NA
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42,373,370,384,1127,NA,NA,NA,NA,NA,NA,"Urban Assembly School of Business for Young Women, the",26,THE URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG,74.9,378,2.6,15.6,2,3.4,46.8,48.4,1.3,0,100,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,72,73.6,5.6,"Urban Assembly School of Business for Young Women, the",Manhattan,"26 Broadway
New York, NY 10004
(40.70523493900049, -74.01331503999967)","(40.70523493900049, -74.01331503999967)",40.7052349390004,-74.01331503999967
02M374,GRAMERCY ARTS HIGH SCHOOL,60,391,391,394,1176,NA,NA,NA,NA,NA,NA,Gramercy Arts High School,27,GRAMERCY ARTS HIGH SCHOOL,59,495,3,12.3,0,2.8,45.3,45.1,6.7,26.3,73.7,GRAMERCY ARTS HIGH SCHOOL,93,73.1,7.5,Gramercy Arts High School,Manhattan,"40 Irving Place
New York, NY 10003
(40.73551946300046, -73.98760424899967)","(40.73551946300046, -73.98760424899967)",40.7355194630004,-73.98760424899967
02M376,NYC ISCHOOL,92,473,483,479,1435,NA,NA,NA,NA,NA,NA,NYC iSchool,37,NYCISCHOOL,34.6,433,0.5,10.9,1,11.5,20.6,43,24,48.7,51.3,NA,NA,NA,NA,NYC iSchool,Manhattan,"131 Avenue Of The Americas
New York, NY 10013
(40.72435287400049, -74.00475929199968)","(40.72435287400049, -74.00475929199968)",40.7243528740004,-74.00475929199968
02M392,MANHATTAN BUSINESS ACADEMY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MANHATTAN BUSINESS ACADEMY,25,MANHATTAN BUSINESS ACADEMY,64,332,9.9,13.9,2,6.6,29.5,58.7,4.8,59,41,NA,NA,NA,NA,MANHATTAN BUSINESS ACADEMY,Manhattan,"351 West 18 Street
New York, NY 10011
(40.74288810100046, -74.00212738099964)","(40.74288810100046, -74.00212738099964)",40.7428881010004,-74.00212738099964
02M393,BUSINESS OF SPORTS SCHOOL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BUSINESS OF SPORTS SCHOOL,22,THE BUSINESS OF SPORTS SCHOOL,58.7,304,7.6,21.4,4,1.6,35.5,57.2,4.3,72.4,27.6,NA,NA,NA,NA,BUSINESS OF SPORTS SCHOOL,Manhattan,"439 West 49Th Street
New York, NY 10019
(40.763361732000476, -73.99050909099964)","(40.763361732000476, -73.99050909099964)",40.76336173200047,-73.99050909099964
02M394,EMMA LAZARUS HIGH SCHOOL,79,319,512,357,1188,NA,NA,NA,NA,NA,NA,EMMA LAZARUS HIGH SCHOOL,25,EMMA LAZARUS HIGH SCHOOL,97,250,82.8,0,NA,62.4,7.2,26.4,4,51.2,48.8,EMMA LAZARUS HIGH SCHOOL,10,NA,NA,NA,NA,NA,NA,NA,NA
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,18,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,80.8,244,28.3,16.8,15,44.3,15.6,32.8,5.3,48,52,NA,NA,NA,NA,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,Manhattan,"40 Irving Place
New York, NY 10003
(40.73551946300046, -73.98760424899967)","(40.73551946300046, -73.98760424899967)",40.7355194630004,-73.98760424899967
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,263,465,493,461,1419,HS FOR ENVIRONMENTAL STUDIES,213,298,152,1.3990610328638498,51.006711409395976,High School for Environmental Studies,31,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,56.4,1394,7.1,14.4,47,16.7,14.8,57.2,11.1,50.4,49.6,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,352,74.4,6.3,High School for Environmental Studies,Manhattan,"444 West 56 Street
New York, NY 10019
(40.76776243900048, -73.98751121399965)","(40.76776243900048, -73.98751121399965)",40.7677624390004,-73.98751121399965
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,54,492,465,467,1424,NA,NA,NA,NA,NA,NA,NA,NA,INSTITUTE FOR COLLABORATIVE EDUCATION,17.9,489,0.4,8.8,2,6.3,10.2,17.6,54.6,55.2,44.8,INSTITUTE FOR COLLABORATIVE EDUCATION,55,76.4,3.6,Institute for Collaborative Education,Manhattan,"345 East 15Th Street
New York, NY 10003
(40.73248537800049, -73.98305338799963)","(40.73248537800049, -73.98305338799963)",40.7324853780004,-73.98305338799963
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,94,509,490,523,1522,PROFESSIONAL PERFORMING ARTS,20,20,15,1,75,Professional Performing Arts High School,29,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,23.5,502,2,3.2,0,7,19.1,23.7,41.8,25.3,74.7,PROFESSIONAL PERFORMING ARTS HIGH SCH,80,92.5,0,Professional Performing Arts High School,Manhattan,"328 West 48 Street
New York, NY 10036
(40.761432699000466, -73.98802369799967)","(40.761432699000466, -73.98802369799967)",40.76143269900046,-73.98802369799967
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,104,496,563,518,1577,BARUCH COLLEGE CAMPUS HS,78,115,88,1.4743589743589745,76.52173913043478,Baruch College Campus High School,27,BARUCH COLLEGE CAMPUS HIGH SCHOOL,54.6,432,1.6,2.3,0,60.6,5.8,14.6,18.8,44,56,BARUCH COLLEGE CAMPUS HIGH SCHOOL,105,98.1,0,Baruch College Campus High School,Manhattan,"55 East 25 Street
New York, NY 10010
(40.74404724800047, -73.99147929899965)","(40.74404724800047, -73.99147929899965)",40.7440472480004,-73.99147929899965
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,114,537,590,550,1677,NYC LAB HS FOR COLL. STUDIES,114,140,97,1.2280701754385965,69.28571428571428,N.Y.C. Lab School for Collaborative Studies,33,NYC LAB SCHOOL FOR COLLABORATIVE STUDIES,21.6,579,1.6,15,0,29.4,8.5,14,45.9,47,53,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,124,91.1,1.6,N.Y.C. Lab School for Collaborative Studies,Manhattan,"333 West 17 Street
New York, NY 10011
(40.74210071300047, -74.00207379699964)","(40.74210071300047, -74.00207379699964)",40.7421007130004,-74.00207379699964
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,66,517,533,515,1565,SCHOOL OF THE FUTURE,11,11,NA,1,NA,NA,NA,SCHOOL OF THE FUTURE HIGH SCHOOL,31,673,2.1,14.6,0,16,12.3,26,38,50.8,49.2,SCHOOL OF THE FUTURE HIGH SCHOOL,95,64.2,2.1,School of the Future High School,Manhattan,"127 East 22 Street
New York, NY 10010
(40.73894888600046, -73.98540517199967)","(40.73894888600046, -73.98540517199967)",40.7389488860004,-73.98540517199967
02M414,N.Y.C. MUSEUM SCHOOL,103,468,492,459,1419,NYC MUSEUM SCHOOL,NA,NA,NA,NA,NA,N.Y.C. Museum School,28,NYC MUSEUM SCHOOL,51.6,436,0.5,9.4,0,33,11.7,39.9,15.4,42.4,57.6,N.Y.C. MUSEUM SCHOOL,106,94.3,1.9,N.Y.C. Museum School,Manhattan,"333 West 17 Street
New York, NY 10011
(40.74210071300047, -74.00207379699964)","(40.74210071300047, -74.00207379699964)",40.7421007130004,-74.00207379699964
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,127,572,594,592,1758,Eleanor Roosevelt High School,155,235,169,1.5161290322580645,71.91489361702128,Eleanor Roosevelt High School,27,ELEANOR ROOSEVELT HIGH SCHOOL,15.8,507,0.2,1.2,0,17.2,5.5,11.6,63.7,32.5,67.5,ELEANOR ROOSEVELT HIGH SCHOOL,127,100,0,Eleanor Roosevelt High School,Manhattan,"411 East 76 Street
New York, NY 10021
(40.77011647100045, -73.95337910099965)","(40.77011647100045, -73.95337910099965)",40.7701164710004,-73.95337910099965
02M418,MILLENNIUM HIGH SCHOOL,144,528,553,533,1614,Millennium High School,86,95,67,1.1046511627906976,70.52631578947368,Millennium High School,29,MILLENNIUM HIGH SCHOOL,32.7,626,0.2,9.1,0,30,8.8,21.7,35.9,38.2,61.8,MILLENNIUM HIGH SCHOOL,150,96.7,0,Millennium High School,Manhattan,"75 Broad Street
New York, NY 10004
(40.704920366000465, -74.01151402299968)","(40.704920366000465, -74.01151402299968)",40.70492036600046,-74.01151402299968
02M419,LANDMARK HIGH SCHOOL,62,390,399,381,1170,NA,NA,NA,NA,NA,NA,Landmark High School,23,LANDMARK HIGH SCHOOL,83.1,421,15.7,18.8,7,5.2,18.1,74.8,1.9,48.5,51.5,LANDMARK HIGH SCHOOL,94,61.7,13.8,Landmark High School,Manhattan,"351 West 18 Street
New York, NY 10011
(40.74288810100046, -74.00212738099964)","(40.74288810100046, -74.00212738099964)",40.7428881010004,-74.00212738099964
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,336,429,449,428,1306,HEALTH PROF & HUMAN SVCS,204,248,75,1.2156862745098038,30.241935483870968,High School for Health Professions and Human Services,32,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SER,68,1768,4,10.9,12,20.5,24.4,49.7,5.3,29.4,70.6,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,341,82.1,0.6,High School for Health Professions and Human Services,Manhattan,"345 East 15Th Street
New York, NY 10003
(40.73248537800049, -73.98305338799963)","(40.73248537800049, -73.98305338799963)",40.7324853780004,-73.98305338799963
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,84,416,426,391,1233,H S FOR LEADERSHIP & PUBLIC,70,84,32,1.2,38.095238095238095,Leadership and Public Service High School,28,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,74.2,607,5.4,18.6,45,8.1,30.5,54.2,6.6,46.1,53.9,LEADERSHIP AND PUBLIC SERVICE HIGH SC,144,54.2,16,Leadership and Public Service High School,Manhattan,"90 Trinity Place
New York, NY 10006
(40.70914653900047, -74.01207662699966)","(40.70914653900047, -74.01207662699966)",40.7091465390004,-74.01207662699966
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,23,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,97.5,175,86.9,6.9,2,6.3,8,84.6,1.1,54.9,45.1,NA,NA,NA,NA,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,Manhattan,"111 East 33Rd Street
New York, NY 10016
(40.746106375000466, -73.98100966699963)","(40.746106375000466, -73.98100966699963)",40.74610637500046,-73.98100966699963
02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,29,356,357,349,1062,LEGACY SCHOOL,22,26,NA,1.1818181818181819,NA,Legacy School for Integrated Studies,20,LEGACY SCHOOL FOR INTEGRATED STUDIES,93.9,294,8.2,22.4,20,1.4,45.2,51.4,1.7,49,51,LEGACY SCHOOL FOR INTEGRATED STUDIES,73,47.9,6.8,NA,NA,NA,NA,NA,NA
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,28,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,61.5,226,8.8,16.4,10,5.8,23.5,62.4,6.6,60.6,39.4,NA,NA,NA,NA,Hudson High School of Learning Technologies,Manhattan,"351 West 18 Street
New York, NY 10011
(40.74288810100046, -74.00212738099964)","(40.74288810100046, -74.00212738099964)",40.7428881010004,-74.00212738099964
02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,24,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,82.8,176,94.9,0.6,0,40.3,12.5,43.2,3.4,61.4,38.6,NA,NA,NA,NA,International High School at Union Square,Manhattan,"40 Irving Place
New York, NY 10003
(40.73551946300046, -73.98760424899967)","(40.73551946300046, -73.98760424899967)",40.7355194630004,-73.98760424899967
02M439,MANHATTAN VILLAGE ACADEMY,95,441,473,458,1372,MANHATTAN VILLAGE ACADEMY HS,42,69,29,1.6428571428571428,42.028985507246375,Manhattan Village Academy,21,MANHATTAN VILLAGE ACADEMY,60.3,429,3.7,8.2,2,6.3,16.8,71.8,4.9,38.5,61.5,MANHATTAN VILLAGE ACADEMY,110,98.2,0,Manhattan Village Academy,Manhattan,"43 West 22 Street
New York, NY 10010
(40.7414946990005, -73.99144505299967)","(40.7414946990005, -73.99144505299967)",40.741494699,-73.99144505299967
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,59,378,365,368,1111,HS FOR HUMANITIES,6,6,NA,1,NA,Bayard Rustin Educational Complex,26,BAYARD RUSTIN EDUCATIONAL COMPLEX,75.5,208,26,13.5,9,6.3,27.9,62.5,2.4,63.9,36.1,BAYARD RUSTIN EDUCATIONAL COMPLEX,365,38.1,18.6,NA,NA,NA,NA,NA,NA
02M449,VANGUARD HIGH SCHOOL,72,395,416,388,1199,NA,NA,NA,NA,NA,NA,Vanguard High School,19,VANGUARD HIGH SCHOOL,69.5,444,6.1,17.3,7,9.9,25.7,59,4.5,46.2,53.8,VANGUARD HIGH SCHOOL,89,44.9,3.4,Vanguard High School,Manhattan,"317 East 67 Street
New York, NY 10065
(40.765445402000466, -73.96021378599966)","(40.765445402000466, -73.96021378599966)",40.76544540200046,-73.96021378599966
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,49,376,460,391,1227,CES-MANHATTAN INTERNATIONAL,12,12,6,1,50,Manhattan International High School,20,MANHATTAN INTERNATIONAL HIGH SCHOOL,80.7,325,77.5,0.3,0,33.5,14.8,36.9,14.5,44.3,55.7,MANHATTAN INTERNATIONAL HIGH SCHOOL,69,55.1,7.2,Manhattan International High School,Manhattan,"317 East 67 Street
New York, NY 10065
(40.765445402000466, -73.96021378599966)","(40.765445402000466, -73.96021378599966)",40.76544540200046,-73.96021378599966
02M460,WASHINGTON IRVING HIGH SCHOOL,151,373,387,360,1120,WASHINGTON IRVING HS,69,83,21,1.2028985507246377,25.301204819277107,Washington Irving High School,24,WASHINGTON IRVING HIGH SCHOOL,66,1032,18.6,17.2,80,4.8,34.3,58.2,2.3,47.5,52.5,WASHINGTON IRVING HIGH SCHOOL,443,51.9,26.6,NA,NA,NA,NA,NA,NA
02M473,WASHINGTON IRVING YABC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02M475,STUYVESANT HIGH SCHOOL,832,679,735,682,2096,STUYVESANT HS,1510,2819,2648,1.866887417218543,93.93401915572899,Stuyvesant High School,31,STUYVESANT HIGH SCHOOL,30.3,3297,0,0.4,0,72.1,1.2,2.4,23.7,59.3,40.7,STUYVESANT HIGH SCHOOL,787,98.3,0.4,Stuyvesant High School,Manhattan,"345 Chambers Street
New York, NY 10282
(40.71774641500048, -74.01404904299966)","(40.71774641500048, -74.01404904299966)",40.7177464150004,-74.01404904299966
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,167,443,489,442,1374,HS OF ECONOMICS & FINANCE,101,176,78,1.7425742574257426,44.31818181818182,High School of Economics and Finance,27,HIGH SCHOOL OF ECONOMICS AND FINANCE,60.8,809,6.3,11.9,12,24.8,22.5,43.5,8.8,54.5,45.5,HIGH SCHOOL OF ECONOMICS AND FINANCE,177,76.8,7.3,High School of Economics and Finance,Manhattan,"100 Trinity Place
New York, NY 10006
(40.70921962500046, -74.01202591499964)","(40.70921962500046, -74.01202591499964)",40.7092196250004,-74.01202591499964
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,25,370,349,351,1070,NA,NA,NA,NA,NA,NA,Unity Center for Urban Technologies,25,UNITY CENTER FOR URBAN TECHNOLOGIES,83.5,237,15.6,32.9,14,3.8,35,55.3,2.5,62.4,37.6,UNITY CENTER FOR URBAN TECHNOLOGIES,53,73.6,11.3,Unity Center for Urban Technologies,Manhattan,"111 East 33Rd Street
New York, NY 10016
(40.746106375000466, -73.98100966699963)","(40.746106375000466, -73.98100966699963)",40.74610637500046,-73.98100966699963
02M519,TALENT UNLIMITED HIGH SCHOOL,81,469,472,475,1416,TALENT UNLIMITED,30,34,21,1.1333333333333333,61.76470588235294,Talent Unlimited High School,26,TALENT UNLIMITED HIGH SCHOOL,45.5,491,0.2,3.5,0,4.5,36,39.3,19.8,21.4,78.6,TALENT UNLIMITED HIGH SCHOOL,136,92.6,0,Talent Unlimited High School,Manhattan,"317 East 67 Street
New York, NY 10065
(40.765445402000466, -73.96021378599966)","(40.765445402000466, -73.96021378599966)",40.76544540200046,-73.96021378599966
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,264,407,440,393,1240,MURRY BERGTRAUM H.S.,118,157,76,1.3305084745762712,48.40764331210191,Murry Bergtraum High School for Business Careers,27,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,72.7,2073,10.2,14.1,108,10.5,39.9,46.6,2.3,49.1,50.9,MURRY BERGTRAUM HIGH SCHOOL FOR BUSIN,637,56.4,11.6,Murry Bergtraum High School for Business Careers,Manhattan,"411 Pearl Street
New York, NY 10038
(40.71067947100045, -74.00080702099967)","(40.71067947100045, -74.00080702099967)",40.7106794710004,-74.00080702099967
